date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million
2/13/20,14,1,0.286,0,0,0,0.042,0.003,0.001,0,0,0
2/14/20,15,1,0.429,0,0,0,0.045,0.003,0.001,0,0,0
2/15/20,15,0,0.429,0,0,0,0.045,0,0.001,0,0,0
2/16/20,15,0,0.429,0,0,0,0.045,0,0.001,0,0,0
2/17/20,15,0,0.429,0,0,0,0.045,0,0.001,0,0,0
2/18/20,15,0,0.286,0,0,0,0.045,0,0.001,0,0,0
2/19/20,15,0,0.286,0,0,0,0.045,0,0.001,0,0,0
2/20/20,15,0,0.143,0,0,0,0.045,0,0,0,0,0
2/21/20,16,1,0.143,0,0,0,0.048,0.003,0,0,0,0
2/22/20,35,19,2.857,0,0,0,0.106,0.057,0.009,0,0,0
2/23/20,35,0,2.857,0,0,0,0.106,0,0.009,0,0,0
2/24/20,35,0,2.857,0,0,0,0.106,0,0.009,0,0,0
2/25/20,53,18,5.429,0,0,0,0.16,0.054,0.016,0,0,0
2/26/20,53,0,5.429,0,0,0,0.16,0,0.016,0,0,0
2/27/20,59,6,6.286,0,0,0,0.178,0.018,0.019,0,0,0
2/28/20,60,1,6.286,0,0,0,0.181,0.003,0.019,0,0,0
2/29/20,66,6,4.429,0,0,0,0.199,0.018,0.013,0,0,0
3/1/20,69,3,4.857,1,1,0.143,0.208,0.009,0.015,0.003,0.003,0
3/2/20,89,20,7.714,2,1,0.286,0.269,0.06,0.023,0.006,0.003,0.001
3/3/20,103,14,7.143,6,4,0.857,0.311,0.042,0.022,0.018,0.012,0.003
3/4/20,125,22,10.286,9,3,1.286,0.378,0.066,0.031,0.027,0.009,0.004
3/5/20,159,34,14.286,11,2,1.571,0.48,0.103,0.043,0.033,0.006,0.005
3/6/20,233,74,24.714,12,1,1.714,0.704,0.224,0.075,0.036,0.003,0.005
3/7/20,338,105,38.857,14,2,2,1.021,0.317,0.117,0.042,0.006,0.006
3/8/20,433,95,52,17,3,2.286,1.308,0.287,0.157,0.051,0.009,0.007
3/9/20,554,121,66.429,21,4,2.714,1.674,0.366,0.201,0.063,0.012,0.008
3/10/20,754,200,93,26,5,2.857,2.278,0.604,0.281,0.079,0.015,0.009
3/11/20,1025,271,128.571,28,2,2.714,3.097,0.819,0.388,0.085,0.006,0.008
3/12/20,1312,287,164.714,30,2,2.714,3.964,0.867,0.498,0.091,0.006,0.008
3/13/20,1663,351,204.286,40,10,4,5.024,1.06,0.617,0.121,0.03,0.012
3/14/20,2174,511,262.286,47,7,4.714,6.568,1.544,0.792,0.142,0.021,0.014
3/15/20,2951,777,359.714,57,10,5.714,8.915,2.347,1.087,0.172,0.03,0.017
3/16/20,3774,823,460,69,12,6.857,11.402,2.486,1.39,0.208,0.036,0.021
3/17/20,4661,887,558.143,85,16,8.429,14.081,2.68,1.686,0.257,0.048,0.025
3/18/20,6427,1766,771.714,108,23,11.429,19.417,5.335,2.331,0.326,0.069,0.035
3/19/20,9415,2988,1157.571,150,42,17.143,28.444,9.027,3.497,0.453,0.127,0.052
3/20/20,14250,4835,1798.143,150,0,15.714,43.051,14.607,5.432,0.453,0,0.047
3/21/20,19624,5374,2492.857,260,110,30.429,59.287,16.236,7.531,0.785,0.332,0.092
3/22/20,26747,7123,3399.429,340,80,40.429,80.806,21.519,10.27,1.027,0.242,0.122
3/23/20,35206,8459,4490.286,471,131,57.429,106.362,25.556,13.566,1.423,0.396,0.173
3/24/20,46442,11236,5968.714,590,119,72.143,140.307,33.945,18.032,1.782,0.36,0.218
3/25/20,55231,8789,6972,801,211,99,166.86,26.553,21.063,2.42,0.637,0.299
3/26/20,69194,13963,8539.857,1050,249,128.571,209.044,42.184,25.8,3.172,0.752,0.388
3/27/20,85991,16797,10248.714,1296,246,163.714,259.789,50.746,30.963,3.915,0.743,0.495
3/28/20,104686,18695,12151.714,1707,411,206.714,316.269,56.48,36.712,5.157,1.242,0.625
3/29/20,124665,19979,13988.286,2191,484,264.429,376.628,60.359,42.26,6.619,1.462,0.799
3/30/20,143025,18360,15402.714,2509,318,291.143,432.096,55.468,46.534,7.58,0.961,0.88
3/31/20,164620,21595,16882.571,3170,661,368.571,497.337,65.241,51.004,9.577,1.997,1.113
4/1/20,189618,24998,19198.143,4079,909,468.286,572.859,75.522,58,12.323,2.746,1.415
4/2/20,216721,27103,21075.286,5138,1059,584,654.741,81.882,63.671,15.523,3.199,1.764
4/3/20,245540,28819,22792.714,6053,915,679.571,741.807,87.066,68.86,18.287,2.764,2.053
4/4/20,277965,32425,24754.143,7157,1104,778.571,839.767,97.96,74.785,21.622,3.335,2.352
4/5/20,312237,34272,26796,8501,1344,901.429,943.307,103.54,80.954,25.683,4.06,2.723
4/6/20,337635,25398,27801.429,9647,1146,1019.714,1020.037,76.731,83.992,29.145,3.462,3.081
4/7/20,368196,30561,29082.286,10989,1342,1117,1112.366,92.329,87.861,33.199,4.054,3.375
4/8/20,398809,30613,29884.429,12895,1906,1259.429,1204.851,92.486,90.285,38.957,5.758,3.805
4/9/20,432132,33323,30773,14817,1922,1382.714,1305.524,100.673,92.969,44.764,5.807,4.177
4/10/20,466033,33901,31499,16690,1873,1519.571,1407.943,102.419,95.162,50.423,5.659,4.591
4/11/20,501560,35527,31942.143,18777,2087,1660,1515.275,107.331,96.501,56.728,6.305,5.015
4/12/20,529951,28391,31102,20608,1831,1729.571,1601.048,85.773,93.963,62.259,5.532,5.225
4/13/20,557571,27620,31419.429,22108,1500,1780.143,1684.491,83.443,94.922,66.791,4.532,5.378
