# Full, machine-readable Table 2 from Stahl et al. 2019
# Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2006mq  54173.88  17.357   0.300  17.017   0.337  17.351   0.535  17.521   0.409  99.999  99.999  nickel1
  2007F  54114.54  16.712   0.038  16.685   0.026  16.576   0.028  16.612   0.038  99.999  99.999    kait3
  2007F  54116.57  16.353   0.026  16.376   0.022  16.276   0.026  16.330   0.032  99.999  99.999    kait3
  2007F  54118.52  16.171   0.034  16.190   0.034  16.094   0.044  16.218   0.030  99.999  99.999    kait3
  2007F  54120.56  16.013   0.032  16.037   0.026  15.970   0.015  16.159   0.024  99.999  99.999    kait3
  2007F  54122.54  16.028   0.026  15.969   0.019  15.933   0.021  16.183   0.028  99.999  99.999    kait3
  2007F  54124.55  16.097   0.028  15.987   0.020  15.888   0.018  16.219   0.033  99.999  99.999    kait3
  2007F  54126.59  16.100   0.026  16.010   0.022  15.884   0.027  16.296   0.048  99.999  99.999    kait3
  2007F  54130.52  16.258   0.035  16.108   0.020  16.025   0.021  16.495   0.039  99.999  99.999    kait3
  2007F  54132.53  16.426   0.043  16.188   0.032  16.161   0.025  16.565   0.028  99.999  99.999    kait3
  2007F  54134.41  16.582   0.051  16.298   0.030  16.320   0.043  16.790   0.074  99.999  99.999    kait3
  2007F  54145.53  17.806   0.050  16.874   0.029  16.720   0.033  16.874   0.051  99.999  99.999    kait3
  2007F  54147.48  18.010   0.063  17.003   0.028  16.766   0.045  16.864   0.077  99.999  99.999    kait3
  2007F  54149.49  18.173   0.083  17.099   0.077  16.689   0.116  16.847   0.188  99.999  99.999    kait3
  2007F  54161.54  19.422   0.246  18.089   0.259  17.561   0.545  17.348   0.433  99.999  99.999    kait3
  2007F  54175.43  19.352   0.067  18.276   0.075  17.890   0.069  17.825   0.084  99.999  99.999    kait3
  2007F  54181.40  19.427   0.111  18.392   0.094  18.100   0.097  18.049   0.127  99.999  99.999    kait3
  2007F  54184.41  19.511   0.178  18.551   0.211  18.260   0.218  17.964   0.271  99.999  99.999    kait3
  2007F  54188.39  19.177   0.134  18.613   0.180  18.188   0.147  18.238   0.232  99.999  99.999    kait3
  2007F  54191.37  19.288   0.104  18.828   0.177  18.347   0.157  18.566   0.265  99.999  99.999    kait3
  2007F  54233.13  20.175   0.311  19.491   0.530  19.757   0.194  20.119   0.424  99.999  99.999  nickel1
  2007F  54267.26  20.566   0.370  20.263   0.292  20.886   0.438  19.598   0.418  99.999  99.999    kait4
  2007F  54268.27  20.550   0.312  20.201   0.467  20.307   0.436  99.999  99.999  99.999  99.999    kait4
 2007bd  54197.18  17.736   0.078  17.672   0.112  17.599   0.105  17.060   0.469  99.999  99.999    kait3
 2007bd  54209.18  16.799   0.024  16.705   0.025  16.586   0.029  17.153   0.062  99.999  99.999    kait3
 2007bd  54231.92  19.186   0.114  17.957   0.174  17.588   0.080  17.495   0.078  99.999  99.999  nickel1
 2007bd  54238.91  19.835   0.380  18.413   0.218  18.188   0.314  18.006   0.190  99.999  99.999  nickel1
 2007bd  54478.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.349   0.795    kait4
 2007bd  54511.32  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.577   0.486    kait4
 2007bd  54549.24  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.158   0.449    kait4
 2007bd  54560.20  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.974   0.452    kait4
 2007bd  54570.18  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.738   0.439    kait4
 2007bd  54755.55  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.415   0.516    kait4
 2007bd  54831.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.600   0.552    kait4
 2007bd  54883.29  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.381   0.567    kait4
 2007bd  54910.20  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.243   0.395    kait4
 2007bm  54214.30  15.814   0.018  15.368   0.022  14.958   0.027  14.709   0.025  99.999  99.999    kait3
 2007bm  54216.26  15.381   0.027  14.909   0.024  14.487   0.023  14.298   0.022  99.999  99.999    kait3
 2007bm  54225.26  14.710   0.022  14.174   0.014  13.939   0.009  14.007   0.017  99.999  99.999    kait3
 2007bm  54229.24  14.865   0.016  14.244   0.011  13.992   0.012  14.127   0.015  99.999  99.999    kait3
 2007bm  54231.25  15.003   0.017  14.312   0.012  14.091   0.011  14.220   0.016  99.999  99.999    kait3
 2007bm  54232.00  15.084   0.015  14.334   0.011  14.124   0.012  14.201   0.018  99.999  99.999  nickel1
 2007bm  54233.00  15.185   0.015  14.387   0.010  14.222   0.014  14.271   0.012  99.999  99.999  nickel1
 2007bm  54233.23  15.179   0.018  14.380   0.013  14.223   0.014  14.340   0.020  99.999  99.999    kait4
 2007bm  54235.19  15.395   0.028  14.516   0.015  14.382   0.019  14.429   0.023  99.999  99.999    kait4
 2007bm  54237.21  15.633   0.022  14.653   0.016  14.484   0.016  14.453   0.018  99.999  99.999    kait4
 2007bm  54239.19  15.944   0.046  14.772   0.021  14.555   0.026  14.427   0.043  99.999  99.999    kait4
 2007bm  54241.21  16.170   0.034  14.903   0.023  14.580   0.019  14.373   0.025  99.999  99.999    kait4
 2007bm  54243.20  16.428   0.038  15.017   0.019  14.615   0.018  14.332   0.021  99.999  99.999    kait4
