# Full, machine-readable Table 2 from Stahl et al. 2019
# Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2008hs  54870.13  19.482   0.634  19.400   0.371  18.935   0.301  19.131   0.720  99.999  99.999    kait4
 2008hs  54873.12  19.953   0.580  19.150   0.164  18.872   0.262  99.999  99.999  99.999  99.999    kait4
 2008hs  54887.13  20.222   0.659  19.615   0.237  19.251   0.266  19.477   0.446  99.999  99.999    kait4
 2008hs  54890.14  20.012   0.451  19.170   0.524  19.216   0.391  20.179   0.661  99.999  99.999    kait4
 2008hs  54901.14  19.129   0.417  19.466   0.445  19.626   0.449  19.256   0.506  99.999  99.999    kait4
  2009D  54833.31  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.274   0.040    kait4
  2009D  54835.30  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.076   0.033    kait4
  2009D  54843.85  15.994   0.018  15.948   0.013  15.860   0.014  16.202   0.019  99.999  99.999  nickel1
  2009D  54860.19  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.610   0.057    kait4
  2009D  54865.80  17.929   0.045  16.961   0.028  16.677   0.031  16.616   0.099  99.999  99.999  nickel2
 2009al  54889.43  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.461   0.048    kait4
 2009al  54897.95  16.488   0.040  16.309   0.020  16.142   0.037  16.326   0.030  99.999  99.999  nickel2
 2009al  54904.33  16.836   0.167  16.424   0.148  16.338   0.039  16.623   0.065  16.295   0.108    kait4
 2009al  54908.31  17.175   0.147  16.623   0.035  16.572   0.160  16.779   0.172  99.999  99.999    kait4
 2009al  54910.31  17.427   0.121  16.717   0.033  16.654   0.176  16.791   0.244  99.999  99.999    kait4
 2009al  54914.32  17.839   0.235  16.901   0.039  16.675   0.039  16.735   0.072  16.719   0.144    kait4
 2009al  54917.27  18.071   0.098  17.110   0.155  16.707   0.141  16.677   0.101  99.999  99.999    kait4
 2009al  54920.30  18.511   0.192  17.279   0.152  16.769   0.138  16.627   0.209  99.999  99.999    kait4
 2009al  54921.10  18.489   0.057  17.386   0.027  17.010   0.172  16.619   0.034  99.999  99.999  nickel2
 2009al  54923.24  18.744   0.322  17.508   0.147  16.954   0.047  16.677   0.093  99.999  99.999    kait4
 2009al  54938.28  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.813   0.196    kait4
 2009al  54939.95  19.349   0.654  18.308   0.566  17.786   0.085  17.542   0.063  99.999  99.999  nickel2
 2009al  54943.25  19.359   0.224  18.387   0.074  17.892   0.105  17.663   0.107  99.999  99.999    kait4
 2009al  54947.26  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.970   0.155    kait4
 2009al  54948.21  19.623   0.288  18.344   0.230  18.075   0.157  17.949   0.287  99.999  99.999    kait4
 2009al  54962.21  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.524   0.276    kait4
 2009al  54963.22  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.492   0.221    kait4
 2009al  54964.19  20.094   0.574  18.965   0.266  18.696   0.296  18.628   0.295  99.999  99.999    kait4
 2009al  54969.19  19.825   0.369  19.004   0.149  18.731   0.157  18.673   0.219  99.999  99.999    kait4
 2009al  54970.93  19.901   0.155  18.944   0.086  18.737   0.206  18.442   0.113  99.999  99.999  nickel2
 2009al  54971.24  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.408   0.234    kait4
 2009al  54974.19  20.061   0.376  18.892   0.128  18.798   0.178  18.804   0.193  99.999  99.999    kait4
 2009an  54897.46  14.937   0.119  14.407   0.102  14.670   0.106  14.874   0.072  99.999  99.999    kait4
 2009an  54902.10  14.698   0.131  14.659   0.055  14.630   0.061  15.172   0.062  99.999  99.999  nickel2
 2009an  54902.43  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  14.596   0.078    kait4
 2009an  54910.37  15.942   0.080  15.066   0.093  15.193   0.114  99.999  99.999  99.999  99.999    kait4
 2009an  54914.38  16.276   0.217  15.284   0.157  99.999  99.999  15.281   0.091  99.999  99.999    kait4
 2009an  54918.35  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  15.225   0.113    kait4
 2009an  54920.33  17.188   0.139  15.680   0.077  15.391   0.087  15.353   0.129  99.999  99.999    kait4
 2009an  54921.12  16.934   0.072  16.016   0.054  15.406   0.057  15.380   0.062  99.999  99.999  nickel2
 2009an  54923.35  17.416   0.126  15.906   0.082  15.655   0.128  15.303   0.084  99.999  99.999    kait4
 2009an  54925.30  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  15.857   0.125    kait4
 2009an  54926.29  17.689   0.205  16.161   0.097  15.855   0.126  15.593   0.150  99.999  99.999    kait4
 2009an  54938.33  18.157   0.137  16.658   0.122  16.528   0.170  16.322   0.166  99.999  99.999    kait4
 2009an  54942.29  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.663   0.137    kait4
 2009an  54943.34  17.986   0.183  16.950   0.136  16.675   0.158  99.999  99.999  99.999  99.999    kait4
 2009an  54948.27  18.108   0.130  16.941   0.116  16.877   0.181  16.837   0.203  99.999  99.999    kait4
 2009an  54958.33  18.506   0.268  17.248   0.307  17.192   0.313  17.288   0.483  99.999  99.999    kait4
 2009an  54963.30  18.052   0.265  17.433   0.232  17.275   0.326  17.483   0.469  99.999  99.999    kait4
 2009an  54966.27  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.390   0.312    kait4
 2009an  54968.23  18.170   0.475  17.579   0.183  17.535   0.122  17.702   0.450  99.999  99.999    kait4
 2009an  54970.99  18.414   0.136  17.933   0.763  17.617   0.094  18.001   0.076  99.999  99.999  nickel2
 2009an  54973.23  18.642   0.161  17.742   0.194  17.726   0.135  17.884   0.151  17.570   0.240    kait4
 2009an  54978.20  18.289   0.218  17.842   0.202  17.896   0.167  17.996   0.170  99.999  99.999    kait4
 2009an  54983.24  18.626   0.255  17.873   0.360  18.217   0.765  99.999  99.999  99.999  99.999    kait4
 2009an  54992.97  18.593   0.206  18.334   0.072  99.999  99.999  99.999  99.999  99.999  99.999  nickel2
 2009an  54993.20  18.780   0.249  18.189   0.308  18.425   0.465  18.533   0.688  99.999  99.999    kait4
 2009an  54998.96  18.585   0.158  18.592   0.220  99.999  99.999  18.742   0.608  99.999  99.999  nickel2
 2009an  55003.92  18.561   0.153  18.418   0.133  18.567   0.234  18.780   0.082  99.999  99.999  nickel2
 2009an  55014.92  19.161   0.166  18.608   0.155  18.848   0.140  18.967   0.108  99.999  99.999  nickel2
 2009dc  54925.45  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.077   0.270    kait4
 2009dc  54938.48  15.700   0.024  15.621   0.031  15.622   0.052  15.704   0.050  15.476   0.050    kait4
 2009dc  54939.16  15.555   0.017  15.545   0.015  15.501   0.020  15.584   0.017  99.999  99.999  nickel2
 2009dc  54940.13  15.507   0.016  15.486   0.017  15.446   0.010  15.532   0.012  99.999  99.999  nickel2
 2009dc  54940.44  15.561   0.034  15.496   0.029  15.494   0.020  15.606   0.027  99.999  99.999    kait4
 2009dc  54942.46  15.458   0.022  15.398   0.028  15.391   0.040  15.531   0.019  99.999  99.999    kait4
 2009dc  54946.47  15.387   0.020  15.336   0.026  15.295   0.035  15.466   0.018  15.216   0.026    kait4
 2009dc  54948.37  15.402   0.024  15.364   0.037  15.307   0.047  15.446   0.047  99.999  99.999    kait4
 2009dc  54951.42  15.472   0.022  15.403   0.028  15.329   0.033  15.462   0.047  99.999  99.999    kait4
 2009dc  54957.48  15.808   0.022  15.526   0.018  15.438   0.024  15.530   0.043  99.999  99.999    kait4
 2009dc  54959.35  15.939   0.027  15.605   0.021  15.484   0.018  15.550   0.048  99.999  99.999    kait4
 2009dc  54960.43  16.034   0.030  15.607   0.022  15.511   0.028  15.584   0.048  99.999  99.999    kait4
 2009dc  54962.44  16.173   0.046  15.665   0.035  15.552   0.034  15.621   0.085  99.999  99.999    kait4
 2009dc  54964.41  16.337   0.025  15.753   0.027  15.588   0.046  15.565   0.046  99.999  99.999    kait4
 2009dc  54965.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  15.615   0.036    kait4
 2009dc  54966.43  16.539   0.027  15.833   0.020  15.673   0.034  15.548   0.041  99.999  99.999    kait4
 2009dc  54968.40  16.675   0.038  15.916   0.044  15.685   0.070  15.569   0.027  99.999  99.999    kait4
 2009dc  54971.13  16.903   0.019  16.064   0.014  15.713   0.014  15.530   0.019  99.999  99.999  nickel2
 2009dc  54971.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  15.771   0.054    kait4
 2009dc  54972.39  16.996   0.050  16.047   0.056  15.773   0.021  15.585   0.028  99.999  99.999    kait4
 2009dc  54974.39  17.162   0.035  16.190   0.044  15.801   0.023  15.562   0.031  99.999  99.999    kait4
 2009dc  54975.08  17.214   0.024  16.260   0.019  15.799   0.014  15.528   0.023  99.999  99.999  nickel2
 2009dc  54977.40  17.380   0.042  16.307   0.024  15.881   0.022  15.634   0.024  99.999  99.999    kait4
 2009dc  54978.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  15.947   0.067    kait4
 2009dc  54981.40  17.617   0.059  16.459   0.049  16.022   0.026  15.690   0.033  99.999  99.999    kait4
 2009dc  54987.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.327   0.056    kait4
 2009dc  54989.34  18.055   0.111  16.854   0.042  16.333   0.044  15.966   0.049  99.999  99.999    kait4
 2009dc  54993.11  18.061   0.038  16.983   0.023  16.495   0.020  16.117   0.015  99.999  99.999  nickel2
 2009dc  54993.36  18.059   0.096  16.929   0.033  16.505   0.034  16.136   0.043  99.999  99.999    kait4
 2009dc  54997.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.643   0.068    kait4
 2009dc  54999.04  18.171   0.025  17.113   0.021  16.690   0.017  16.261   0.340  99.999  99.999  nickel2
 2009dc  54999.32  18.169   0.051  17.050   0.044  16.682   0.055  99.999  99.999  99.999  99.999    kait4
 2009dc  55003.99  18.236   0.057  17.226   0.026  16.839   0.020  16.450   0.054  99.999  99.999  nickel2
 2009dc  55005.28  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  16.918   0.067    kait4
 2009dc  55009.31  18.130   0.129  17.287   0.039  16.961   0.051  16.672   0.070  99.999  99.999    kait4
 2009dc  55014.34  18.412   0.102  17.332   0.053  17.152   0.065  16.763   0.053  99.999  99.999    kait4
 2009dc  55019.06  18.464   0.088  17.508   0.043  17.259   0.040  16.989   0.033  99.999  99.999  nickel2
 2009dc  55022.25  18.291   0.098  17.562   0.057  17.323   0.062  17.009   0.083  99.999  99.999    kait4
 2009dc  55025.04  18.580   0.082  17.449   0.085  17.417   0.047  17.185   0.366  99.999  99.999  nickel2
 2009dc  55027.20  18.542   0.081  17.582   0.050  17.472   0.064  17.216   0.063  99.999  99.999    kait4
 2009dc  55032.06  18.610   0.034  17.722   0.028  17.589   0.030  17.289   0.034  99.999  99.999  nickel2
 2009dc  55032.20  18.584   0.086  17.748   0.054  17.619   0.045  17.346   0.073  99.999  99.999    kait4
 2009dc  55033.94  18.670   0.037  17.813   0.024  99.999  99.999  17.309   0.225  99.999  99.999  nickel2
 2009dc  55037.20  18.647   0.085  17.836   0.036  17.759   0.042  17.459   0.063  99.999  99.999    kait4
 2009dc  55042.19  18.564   0.121  17.952   0.074  17.880   0.071  17.636   0.108  99.999  99.999    kait4
 2009dc  55043.22  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.986   0.083    kait4
 2009dc  55046.94  18.948   0.130  18.107   0.055  99.999  99.999  17.830   0.137  99.999  99.999  nickel2
 2009dc  55047.19  18.904   0.157  17.946   0.090  18.059   0.113  17.734   0.172  99.999  99.999    kait4
 2009dc  55052.19  18.973   0.121  18.147   0.074  18.195   0.141  17.923   0.128  99.999  99.999    kait4
 2009dc  55053.21  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.098   0.150    kait4
 2009dc  55057.19  19.120   0.214  18.315   0.106  18.274   0.131  18.182   0.253  99.999  99.999    kait4
 2009dc  55062.17  19.137   0.143  18.299   0.081  18.358   0.103  18.127   0.212  18.350   0.287    kait4
 2009dc  55067.17  19.044   0.138  18.334   0.070  18.476   0.147  18.304   0.169  99.999  99.999    kait4
 2009dc  55067.90  19.143   0.048  18.378   0.035  18.560   0.042  18.276   0.056  99.999  99.999  nickel2
 2009dc  55072.17  19.124   0.213  18.425   0.098  18.709   0.129  18.296   0.181  99.999  99.999    kait4
 2009dc  55082.15  19.142   0.156  18.758   0.105  19.122   0.210  18.755   0.278  99.999  99.999    kait4
 2009dc  55087.15  18.984   0.282  18.832   0.172  18.477   0.361  99.999  99.999  99.999  99.999    kait4
 2009ee  54960.26  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.411   0.098    kait4
 2009ee  54961.28  18.012   0.138  17.621   0.092  17.492   0.073  17.835   0.135  17.514   0.051    kait4
 2009ee  54962.24  18.177   0.092  17.635   0.059  17.559   0.073  18.006   0.175  17.500   0.068    kait4
 2009ee  54964.23  18.314   0.202  17.845   0.049  17.799   0.064  18.188   0.212  99.999  99.999    kait4
 2009ee  54965.95  18.766   0.038  17.872   0.037  99.999  99.999  99.999  99.999  99.999  99.999  nickel2
 2009ee  54966.19  18.853   0.169  17.944   0.050  17.786   0.063  18.025   0.096  99.999  99.999    kait4
 2009ee  54968.18  18.994   0.160  18.143   0.060  17.931   0.069  18.267   0.120  99.999  99.999    kait4
 2009ee  54970.23  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.827   0.290    kait4
 2009ee  54970.94  19.568   0.092  18.368   0.041  18.020   0.034  99.999  99.999  99.999  99.999  nickel2
 2009ee  54972.19  19.498   0.189  18.377   0.066  17.976   0.072  17.901   0.099  99.999  99.999    kait4
 2009ee  54974.24  19.805   0.278  18.456   0.083  18.014   0.084  18.085   0.118  99.999  99.999    kait4
 2009ee  54974.95  19.982   0.124  18.775   0.045  18.123   0.050  18.002   0.123  99.999  99.999  nickel2
 2009ee  54976.19  19.921   0.329  18.699   0.086  18.211   0.070  18.061   0.094  99.999  99.999    kait4
 2009ee  54978.22  20.237   0.262  18.910   0.078  18.254   0.090  18.157   0.104  99.999  99.999    kait4
 2009ee  54982.19  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.934   0.418    kait4
 2009ee  54998.94  20.524   0.320  19.703   0.204  19.276   0.154  99.999  99.999  99.999  99.999  nickel2
 2009ee  55003.94  21.073   0.218  20.139   0.134  19.821   0.170  19.753   0.264  99.999  99.999  nickel2
 2009ee  55006.93  20.747   0.252  20.184   0.381  18.779   0.211  19.648   0.232  99.999  99.999  nickel2
 2009eq  54962.49  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.271   0.277    kait4
 2009eq  54969.45  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.655   0.124    kait4
 2009eq  54970.46  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.867   0.280    kait4
 2009eq  54975.49  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.794   0.070    kait4
 2009eq  54980.43  20.344   0.235  18.678   0.115  18.072   0.273  17.390   0.563  99.999  99.999    kait4
 2009eq  54981.46  19.965   0.447  18.920   0.178  18.157   0.536  17.829   0.182  99.999  99.999    kait4
 2009eq  54982.42  20.615   0.234  18.922   0.073  18.239   0.054  17.845   0.058  18.341   0.028    kait4
 2009eq  54983.47  20.218   0.489  18.962   0.450  18.221   0.129  17.859   0.127  18.485   0.049    kait4
 2009eq  54986.48  20.406   0.351  19.292   0.113  18.520   0.086  18.054   0.102  18.514   0.081    kait4
 2009eq  54989.43  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.569   0.152    kait4
 2009eq  54990.46  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.756   0.084    kait4
 2009eq  54991.44  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.796   0.069    kait4
 2009eq  54993.47  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.993   0.085    kait4
 2009eq  54996.44  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.011   0.082    kait4
 2009eq  54998.48  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.494   0.458    kait4
 2009eq  54999.14  20.832   0.357  20.062   0.528  19.134   0.184  18.678   0.173  99.999  99.999  nickel2
 2009eq  55002.46  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.316   0.144    kait4
 2009eq  55004.13  21.075   0.123  20.014   0.069  19.279   0.051  18.571   0.062  99.999  99.999  nickel2
 2009eq  55004.44  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.240   0.100    kait4
 2009eq  55006.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.281   0.077    kait4
 2009eq  55008.41  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.353   0.070    kait4
 2009eq  55014.43  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.479   0.102    kait4
 2009eq  55015.15  21.474   0.362  20.208   0.135  19.541   0.087  99.999  99.999  99.999  99.999  nickel2
 2009eq  55022.37  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.603   0.141    kait4
 2009eq  55026.39  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.842   0.147    kait4
 2009eq  55028.31  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.027   0.146    kait4
 2009eq  55030.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.875   0.099    kait4
 2009eq  55032.16  21.454   0.326  20.827   0.253  20.197   0.171  19.281   0.173  99.999  99.999  nickel2
 2009eq  55032.36  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.914   0.115    kait4
 2009eq  55034.35  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.078   0.112    kait4
 2009eq  55038.29  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.200   0.119    kait4
 2009eq  55040.10  21.832   0.372  20.789   0.201  20.353   0.274  19.478   0.165  99.999  99.999  nickel2
 2009eq  55042.07  21.658   0.211  20.746   0.141  20.539   0.153  19.616   0.137  99.999  99.999  nickel2
 2009eq  55042.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.399   0.165    kait4
 2009eq  55047.07  21.441   0.540  21.651   0.569  21.076   0.612  19.384   0.183  99.999  99.999  nickel2
 2009eq  55064.05  21.833   0.317  21.307   0.252  20.936   0.239  19.951   0.173  99.999  99.999  nickel2
 2009eq  55068.04  22.138   0.321  21.501   0.261  21.184   0.237  20.024   0.116  99.999  99.999  nickel2
 2009eu  54978.42  18.228   0.047  18.073   0.056  17.793   0.069  17.772   0.081  17.742   0.071    kait4
 2009eu  54980.36  17.987   0.159  17.525   0.290  17.547   0.109  17.575   0.081  99.999  99.999    kait4
 2009eu  54982.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.339   0.078    kait4
 2009eu  54984.43  17.658   0.073  17.552   0.071  17.219   0.096  17.329   0.107  99.999  99.999    kait4
 2009eu  54986.35  17.745   0.094  17.466   0.056  17.278   0.058  17.297   0.092  99.999  99.999    kait4
 2009eu  54990.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.694   0.148    kait4
 2009eu  54991.37  18.617   0.164  17.751   0.073  17.563   0.099  17.636   0.080  99.999  99.999    kait4
 2009eu  54993.37  18.717   0.127  17.803   0.073  17.553   0.072  17.750   0.130  99.999  99.999    kait4
 2009eu  54996.34  19.366   0.137  18.067   0.076  17.728   0.076  17.681   0.083  99.999  99.999    kait4
 2009eu  54997.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.824   0.121    kait4
 2009eu  55002.32  19.909   0.209  18.541   0.089  18.053   0.097  17.722   0.100  99.999  99.999    kait4
 2009eu  55003.35  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.540   0.303    kait4
 2009eu  55005.31  19.826   0.315  18.902   0.130  18.321   0.139  17.946   0.138  99.999  99.999    kait4
 2009eu  55008.32  19.867   0.244  19.193   0.171  18.620   0.129  18.313   0.121  18.581   0.156    kait4
 2009eu  55015.30  20.282   0.472  19.469   0.243  18.881   0.316  99.999  99.999  99.999  99.999    kait4
 2009eu  55025.10  20.739   0.331  19.493   0.206  19.312   0.134  19.132   0.154  99.999  99.999  nickel2
 2009eu  55027.31  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.860   0.390    kait4
 2009eu  55032.09  20.843   0.152  20.090   0.141  19.534   0.113  19.750   0.229  99.999  99.999  nickel2
 2009eu  55032.22  20.823   0.490  19.833   0.515  19.771   0.310  19.586   0.412  99.999  99.999    kait4
 2009eu  55035.26  20.869   0.334  20.160   0.331  19.671   0.192  19.259   0.255  99.999  99.999    kait4
 2009eu  55038.19  21.051   0.552  19.960   0.292  20.116   0.372  19.419   0.387  99.999  99.999    kait4
 2009eu  55042.00  21.221   0.298  20.448   0.210  19.865   0.164  20.350   0.329  99.999  99.999  nickel2
 2009eu  55044.22  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.776   0.612    kait4
 2009eu  55047.01  21.247   0.704  20.333   0.426  19.974   0.289  20.277   0.477  99.999  99.999  nickel2
 2009fv  54981.44  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.265   0.497    kait4
 2009fv  54990.40  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.068   0.099    kait4
 2009fv  54991.38  16.977   0.039  16.960   0.046  16.701   0.059  17.281   0.118  99.999  99.999    kait4
 2009fv  54993.39  16.939   0.041  16.863   0.048  16.811   0.082  16.602   0.095  99.999  99.999    kait4
 2009fv  54996.36  16.939   0.030  16.754   0.045  16.532   0.051  16.713   0.090  16.721   0.065    kait4
 2009fv  54998.41  17.079   0.037  16.771   0.048  16.522   0.075  99.999  99.999  99.999  99.999    kait4
 2009fv  54999.13  17.201   0.015  16.873   0.030  16.654   0.019  16.808   0.141  99.999  99.999  nickel2
 2009fv  55001.36  17.549   0.060  16.790   0.045  16.698   0.083  16.705   0.111  99.999  99.999    kait4
 2009fv  55002.36  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.415   0.196    kait4
 2009fv  55007.35  18.684   0.182  17.110   0.087  16.933   0.099  17.905   0.201  17.296   0.129    kait4
 2009fv  55009.32  19.113   0.193  17.263   0.114  16.764   0.092  17.791   0.534  99.999  99.999    kait4
 2009fv  55014.35  19.114   0.227  18.174   0.263  17.183   0.166  17.719   0.190  99.999  99.999    kait4
 2009fv  55015.12  18.914   0.050  17.805   0.041  17.231   0.033  17.108   0.047  99.999  99.999  nickel2
 2009fv  55025.12  19.652   0.198  18.283   0.087  99.999  99.999  17.345   0.064  99.999  99.999  nickel2
 2009fv  55026.32  19.746   0.312  18.779   0.218  17.778   0.095  17.857   0.179  99.999  99.999    kait4
 2009fv  55027.31  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.045   0.115    kait4
 2009fv  55028.23  19.617   0.211  18.871   0.181  18.444   0.250  18.018   0.212  99.999  99.999    kait4
 2009fv  55030.32  19.904   0.300  18.811   0.157  18.194   0.176  17.968   0.212  99.999  99.999    kait4
 2009fv  55032.11  19.669   0.077  18.575   0.047  17.982   0.062  17.646   0.054  99.999  99.999  nickel2
 2009fv  55032.24  19.743   0.296  19.208   0.227  18.817   0.231  18.496   0.265  99.999  99.999    kait4
 2009fv  55034.02  19.796   0.092  18.604   0.052  99.999  99.999  17.859   0.111  99.999  99.999  nickel2
 2009fv  55034.22  20.226   0.343  19.116   0.242  18.762   0.322  99.999  99.999  99.999  99.999    kait4
 2009fv  55038.22  19.787   0.260  19.191   0.210  18.652   0.262  18.379   0.251  99.999  99.999    kait4
 2009fv  55042.02  19.851   0.083  18.870   0.058  18.302   0.056  18.083   0.070  99.999  99.999  nickel2
 2009fv  55043.24  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.980   0.325    kait4
 2009fv  55046.21  19.646   0.361  19.184   0.240  18.833   0.253  18.396   0.336  99.999  99.999    kait4
 2009fv  55047.02  19.803   0.179  19.063   0.105  18.376   0.106  18.239   0.103  99.999  99.999  nickel2
 2009fv  55047.26  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.274   0.513    kait4
 2009fv  55050.19  19.726   0.373  19.618   0.401  19.094   0.322  18.486   0.250  99.999  99.999    kait4
 2009fv  55055.20  19.864   0.313  19.654   0.334  19.165   0.238  18.584   0.285  99.999  99.999    kait4
 2009fv  55056.23  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.077   0.362    kait4
 2009fv  55061.22  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.070   0.243    kait4
 2009fv  55063.17  20.143   0.376  20.017   0.387  99.999  99.999  18.966   0.364  99.999  99.999    kait4
 2009fv  55067.98  20.273   0.106  19.380   0.125  19.015   0.090  18.967   0.164  99.999  99.999  nickel2
 2009fv  55069.20  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.789   0.481    kait4
 2009hn  55045.49  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.479   0.218    kait4
 2009hn  55047.17  20.016   0.286  18.601   0.173  18.412   0.059  18.558   0.102  99.999  99.999  nickel2
 2009hn  55053.51  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.494   0.308    kait4
 2009hn  55059.46  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.883   0.374    kait4
 2009hn  55063.47  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.759   0.227    kait4
 2009hn  55064.20  19.731   0.095  19.067   0.119  19.005   0.072  19.273   0.167  99.999  99.999  nickel2
 2009hn  55068.14  19.872   0.145  19.251   0.054  19.135   0.090  19.558   0.168  99.999  99.999  nickel2
 2009hn  55069.52  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  18.917   0.264    kait4
 2009hp  55047.19  17.733   0.039  17.060   0.033  17.008   0.017  17.056   0.032  99.999  99.999  nickel2
 2009hp  55051.48  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.451   0.272    kait4
 2009hp  55059.52  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.859   0.324    kait4
 2009hp  55068.16  19.988   0.300  18.587   0.058  18.050   0.033  99.999  99.999  99.999  99.999  nickel2
 2009hs  55041.32  18.350   0.053  18.267   0.049  18.053   0.053  17.974   0.071  18.005   0.059    kait4
 2009hs  55042.27  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.753   0.047    kait4
 2009hs  55043.27  17.934   0.053  17.842   0.040  17.683   0.040  17.520   0.063  99.999  99.999    kait4
 2009hs  55044.29  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.456   0.079    kait4
 2009hs  55045.25  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  17.292   0.048    kait4
 2009hs  55046.23  17.584   0.053  17.533   0.049  17.266   0.043  17.261   0.052  99.999  99.999    kait4
 2009hs  55048.30  17.458   0.066  17.376   0.050  17.140   0.044  17.228   0.062  17.138   0.056    kait4
 2009hs  55052.24  17.790   0.067  17.288   0.042  17.135   0.041  17.311   0.059  17.156   0.066    kait4
 2009hs  55055.18  18.261   0.096  17.475   0.046  17.288   0.059  17.365   0.070  99.999  99.999    kait4
