# Full, machine-readable Table B3 from Stahl et al. 2019
# Natural System Photometry of 93 SNe Ia
#
# NULL values are denoted by 99.999
#
# ---------------------------------------------------------------------------------------------------------
SN       MJD       B      EB       V      EV       R      ER       I      EI   CLEAR  ECLEAR   system
 2006ev  54267.12  99.999  99.999  99.999  99.999  99.999  99.999  20.863   0.454  99.999  99.999  nickel1
 2006ev  54288.12  99.999  99.999  99.999  99.999  21.601   0.555  20.986   0.469  99.999  99.999  nickel1
 2006ev  54317.04  21.860   0.471  99.999  99.999  99.999  99.999  21.146   0.474  99.999  99.999  nickel1
 2006mq  54045.50  15.134   0.065  13.836   0.023  13.330   0.014  12.895   0.014  99.999  99.999    kait3
 2006mq  54048.56  15.244   0.038  13.939   0.009  13.479   0.015  13.050   0.020  99.999  99.999    kait3
 2006mq  54055.51  15.434   0.016  14.245   0.015  13.837   0.015  13.465   0.014  99.999  99.999    kait3
 2006mq  54064.16  15.644   0.042  14.607   0.066  99.999  99.999  13.976   0.037  99.999  99.999  nickel1
 2006mq  54068.54  15.669   0.062  14.698   0.062  14.345   0.049  14.190   0.038  99.999  99.999    kait3
 2006mq  54073.41  15.725   0.019  14.817   0.020  14.478   0.016  14.420   0.027  99.999  99.999    kait3
 2006mq  54080.52  15.822   0.018  14.994   0.025  14.719   0.026  14.752   0.036  99.999  99.999    kait3
 2006mq  54119.00  16.442   0.143  16.046   0.138  15.954   0.201  16.346   0.367  99.999  99.999  nickel1
 2006mq  54146.93  16.927   0.182  99.999  99.999  16.720   0.362  16.907   0.399  99.999  99.999  nickel1
 2006mq  54173.88  17.326   0.296  17.035   0.336  17.321   0.486  17.543   0.427  99.999  99.999  nickel1
  2007F  54114.54  16.710   0.038  16.686   0.026  16.583   0.026  16.612   0.038  99.999  99.999    kait3
  2007F  54116.57  16.354   0.026  16.375   0.022  16.282   0.024  16.330   0.032  99.999  99.999    kait3
  2007F  54118.52  16.172   0.034  16.189   0.034  16.100   0.041  16.218   0.030  99.999  99.999    kait3
  2007F  54120.56  16.014   0.032  16.036   0.026  15.974   0.014  16.159   0.024  99.999  99.999    kait3
  2007F  54122.54  16.025   0.026  15.971   0.019  15.935   0.020  16.183   0.028  99.999  99.999    kait3
  2007F  54124.55  16.091   0.028  15.991   0.020  15.894   0.017  16.219   0.033  99.999  99.999    kait3
  2007F  54126.59  16.095   0.026  16.013   0.022  15.892   0.025  16.296   0.048  99.999  99.999    kait3
  2007F  54130.52  16.249   0.035  16.113   0.020  16.030   0.020  16.495   0.039  99.999  99.999    kait3
  2007F  54132.53  16.412   0.043  16.196   0.032  16.163   0.023  16.565   0.028  99.999  99.999    kait3
  2007F  54134.41  16.566   0.051  16.307   0.030  16.319   0.040  16.790   0.074  99.999  99.999    kait3
  2007F  54145.53  17.753   0.047  16.904   0.028  16.730   0.031  16.874   0.051  99.999  99.999    kait3
  2007F  54147.48  17.953   0.060  17.035   0.027  16.781   0.042  16.864   0.077  99.999  99.999    kait3
  2007F  54149.49  18.112   0.080  17.133   0.077  16.715   0.108  16.847   0.188  99.999  99.999    kait3
  2007F  54151.53  99.999  99.999  17.234   0.253  16.805   0.125  99.999  99.999  99.999  99.999    kait3
  2007F  54161.54  19.346   0.244  18.132   0.259  17.595   0.510  17.347   0.433  99.999  99.999    kait3
  2007F  54167.53  99.999  99.999  99.999  99.999  17.623   0.817  17.944   0.811  99.999  99.999    kait3
  2007F  54170.45  99.999  99.999  18.173   0.112  17.734   0.089  17.566   0.126  99.999  99.999    kait3
  2007F  54175.43  19.291   0.064  18.310   0.075  17.915   0.064  17.825   0.084  99.999  99.999    kait3
  2007F  54178.42  99.999  99.999  18.364   0.099  17.971   0.066  17.816   0.070  99.999  99.999    kait3
  2007F  54181.40  19.368   0.109  18.425   0.094  18.119   0.090  18.049   0.127  99.999  99.999    kait3
  2007F  54184.41  19.456   0.176  18.582   0.211  18.279   0.204  17.963   0.271  99.999  99.999    kait3
  2007F  54188.39  19.145   0.133  18.631   0.180  18.215   0.137  18.238   0.232  99.999  99.999    kait3
  2007F  54191.37  19.262   0.103  18.843   0.177  18.378   0.146  18.566   0.265  99.999  99.999    kait3
  2007F  54233.13  20.112   0.304  19.527   0.529  19.733   0.170  20.147   0.442  99.999  99.999  nickel1
  2007F  54267.26  20.525   0.362  20.278   0.291  20.819   0.390  19.607   0.412  99.999  99.999    kait4
  2007F  54268.27  20.503   0.298  20.219   0.466  20.296   0.386  99.999  99.999  99.999  99.999    kait4
  2007F  54316.89  99.999  99.999  21.413   1.228  99.999  99.999  99.999  99.999  99.999  99.999  nickel1
  2007F  54323.90  99.999  99.999  21.375   1.076  99.999  99.999  20.340   0.395  99.999  99.999  nickel1
 2007bd  54197.18  17.732   0.078  17.674   0.112  17.604   0.098  17.059   0.469  99.999  99.999    kait3
 2007bd  54209.18  16.794   0.024  16.708   0.025  16.594   0.027  17.153   0.062  99.999  99.999    kait3
 2007bd  54231.92  19.073   0.110  18.022   0.173  17.621   0.071  17.475   0.081  99.999  99.999  nickel1
 2007bd  54232.91  99.999  99.999  18.159   0.051  17.658   0.053  17.363   0.056  99.999  99.999  nickel1
 2007bd  54238.91  19.704   0.377  18.488   0.216  18.208   0.285  17.988   0.198  99.999  99.999  nickel1
 2007bd  54478.38  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  20.349   0.795    kait4
 2007bd  54505.30  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999    kait4
 2007bd  54511.32  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  19.577   0.486    kait4
 2007bd  54532.23  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  99.999    kait4
