,x_data,y_data,y_err_data
0,0.7925340413482526,16.095,0.01699999999999946
1,0.793895810650181,16.087,0.0129999999999999
2,0.79572250435047,16.06,0.012000000000000455
3,0.8002067288578695,16.049,0.01699999999999946
4,0.8011868009757053,16.052,0.015000000000000568
5,0.9535421196871086,16.129,0.022999999999999687
6,0.9548536656679223,16.116,0.015000000000000568
7,0.9571294993013807,16.115,0.009999999999999787
8,0.2443136004553352,15.823,0.027000000000000135
9,0.24675445353367687,15.845,0.017999999999999794
10,0.24876482106958178,15.848,0.01499999999999968
11,0.2535475155676876,15.862,0.026999999999999247
12,0.5806247129525209,15.763,0.018000000000000682
13,0.5815057733804573,15.77,0.017000000000000348
14,0.5830670009831928,15.852,0.015000000000000568
15,0.9029099127592743,16.086,0.023000000000001464
16,0.9046533792557363,16.155,0.01699999999999946
17,0.9064312845872406,16.141,0.011000000000001009
18,0.155736948121496,16.225,0.025000000000000355
19,0.15676724355000585,16.28,0.015000000000000568
20,0.15909186553136756,16.271,0.0129999999999999
21,0.7605196619098276,16.017,0.019999999999999574
22,0.7622631284062895,15.974,0.019000000000000128
23,0.7645217426117861,15.989,0.008000000000000007
24,0.7252299256579386,16.014,0.019000000000001016
25,0.7263262288623137,16.005,0.013999999999999346
26,0.727937679786164,16.015,0.009000000000000341
27,0.9233996452653881,16.044,0.02200000000000024
28,0.9386632280331251,16.102,0.0129999999999999
29,0.7683488280798065,16.022,0.017000000000001236
30,0.7697278167992563,16.029,0.013000000000001677
31,0.7715042871888711,16.034,0.011000000000001009
32,0.5629469718388412,15.769,0.020999999999999908
33,0.5639270439566769,15.816,0.01499999999999968
34,0.5656705104426982,15.816,0.01100000000000012
35,0.8380071648584916,16.085,0.022999999999999687
36,0.8395841769368587,16.073,0.015000000000000568
37,0.8431557720754992,16.095,0.012000000000000455
38,0.5631192349643943,15.733,0.020000000000000462
39,0.5641165264997513,15.749,0.0129999999999999
40,0.5671887583945481,15.782,0.012000000000000455
41,0.23592803814811095,15.763,0.013999999999999346
42,0.23720801519854257,15.729,0.013000000000000789
43,0.23943362551088618,15.719,0.009999999999999787
44,0.45528483552972876,15.608,0.0129999999999999
45,0.4563481348409509,15.607,0.011999999999999567
46,0.45789214302616515,15.639,0.009999999999999787
47,0.11024064055499246,16.151,0.015000000000000568
48,0.1111704893517134,16.171,0.009999999999999787
49,0.11271593248925785,16.194,0.008000000000000895
50,0.3833909126705268,15.461,0.009999999999999787
51,0.3876756788771193,15.464,0.006999999999999673
52,0.38956981531604423,15.451,0.004999999999999893
53,0.6667278941507013,15.908,0.014000000000000234
54,0.6684211373260485,15.924,0.009999999999999787
55,0.67004980766742,15.889,0.008000000000000007
56,0.2928024234098243,15.405,0.014000000000000234
57,0.2972866479172238,15.379,0.011999999999999567
58,0.31060587093536174,15.354,0.013000000000000789
59,0.31316439007345415,15.37,0.010000000000000675
60,0.5225382274665136,15.682,0.017999999999999794
61,0.5246648260993984,15.689,0.013999999999999346
62,0.5264915197996873,15.685,0.009000000000000341
63,0.15440785453609113,16.18,0.021000000000000796
64,0.1554209305366391,16.19,0.012000000000000455
65,0.1571486125574693,16.201,0.007999999999999119
66,0.6110203314519538,15.762,0.017000000000000348
67,0.6132961650749715,15.788,0.014000000000000234
68,0.614824388784554,15.819,0.010000000000000675
69,0.3741126725204495,15.414,0.01100000000000012
70,0.3750927446278446,15.393,0.008000000000000007
71,0.3779497337462027,15.406,0.007000000000000561
72,0.680027927907064,15.89,0.01499999999999968
73,0.6816709477717371,15.873,0.011999999999999567
74,0.16779317491646648,16.257,0.022999999999999687
75,0.17025124742276998,16.311,0.02400000000000091
76,0.17249407715263482,16.238,0.009999999999999787
77,0.646996805850231,15.882,0.017999999999999794
78,0.6484418023559866,15.889,0.009999999999999787
79,0.6514810303680711,15.853,0.006999999999999673
80,0.3774540371306599,15.425,0.010000000000000675
81,0.3790812725197012,15.43,0.006999999999999673
82,0.3807415118018954,15.431,0.004999999999999893
83,0.17293972272372918,16.228,0.019000000000000128
84,0.17385235209248825,16.261,0.010999999999999233
85,0.17551402632701266,16.256,0.007999999999999119
86,0.625662010728554,15.82,0.0129999999999999
87,0.6270237800304825,15.825,0.008000000000000007
88,0.6353450657845165,16.113,0.06700000000000017
